obstime,tempr,ap,ws,wd,rh
23-02-2015 12:00,-3.14,984.46,4.76,52.98,NaN
23-02-2015 13:00,-3.47,985.07,4.78,52.75,NaN
23-02-2015 14:00,-3.51,985.53,4.05,57.02,NaN
23-02-2015 15:00,-3.47,985.92,3.66,79.48,NaN
23-02-2015 16:00,-3.52,986.13,3.51,80.88,NaN
23-02-2015 17:00,-5.06,986.21,3.42,91.35,NaN
23-02-2015 18:00,-6.89,985.98,4.16,95.33,NaN
23-02-2015 19:00,-6.97,985.87,4.31,83.2,NaN
23-02-2015 20:00,-6.77,985.98,3.41,80.03,NaN
23-02-2015 21:00,-6.31,985.82,3.68,79.82,NaN
23-02-2015 22:00,-6.1,985.91,5.21,219.65,NaN
23-02-2015 23:00,-5.1,985.7,6.16,217.32,NaN
24-02-2015 00:00,NaN,NaN,NaN,NaN,NaN
24-02-2015 01:00,NaN,NaN,NaN,NaN,NaN
24-02-2015 02:00,NaN,NaN,NaN,NaN,NaN
24-02-2015 03:00,NaN,NaN,NaN,NaN,NaN
24-02-2015 04:00,NaN,NaN,NaN,NaN,NaN
24-02-2015 05:00,NaN,NaN,NaN,NaN,NaN
